Start Time (s),End Time (s),AVG Peak,STD Peak,AVG Trough,STD Trough,FMA,Total Power,Label bin, Label
341.0796783,351.0796783,2.180913106,0.572747794,-2.017995666,0.606225065,1.402812171,1567366178,0,
342.0796783,352.0796783,2.315521634,0.529509373,-2.219754699,0.55914955,1.398516323,1519398668,0,
343.0796783,353.0796783,2.122757055,0.590765968,-2.28097133,0.633097633,1.398655213,1462974336,0,
344.0796783,354.0796783,2.320473266,0.608726773,-2.435507457,0.560844967,1.398620702,1392466482,0,
345.0796783,355.0796783,2.208344545,0.625194342,-2.195201507,0.595321916,1.404277187,1313020830,0,
346.0796783,356.0796783,2.332885817,0.604833256,-2.240919554,0.660355656,1.404167945,1313990319,0,
347.0796783,357.0796783,2.471299535,0.564502973,-2.160058671,0.610603403,1.404136384,1251994901,0,
348.0796783,358.0796783,2.158306993,0.708051699,-2.265345421,0.579772148,1.398695127,1227705022,0,
349.0796783,359.0796783,2.22974129,0.575592747,-2.340533262,0.61576664,1.398738818,1148024974,0,
350.0796783,360.0796783,2.047473112,0.542303222,-2.23057831,0.584809159,1.398635726,1217142716,0,
351.0796783,361.0796783,2.15201155,0.642249094,-2.407562742,0.596516276,1.298729879,1257235682,0,
352.0796783,362.0796783,2.430459634,0.52009116,-2.223451491,0.62973959,1.298699696,1246720318,0,
353.0796783,363.0796783,2.120217941,0.642908477,-2.040669092,0.636422351,1.298611893,1345317000,0,
354.0796783,364.0796783,2.208036711,0.603578987,-2.179500126,0.697595732,1.298661961,1348649030,0,
