Start Time (s),End Time (s),Kurtosis D1,Kurtosis D2,Kurtosis D3,Kurtosis A4,Label bin,Label
985.0796783,1045.079678,3.256638541,0.2058168,-0.614583218,2.975783434,0,1
986.0796783,1046.079678,4.005313344,0.194592494,-0.472964459,12.59110125,0,1
987.0796783,1047.079678,3.231400158,0.201025814,-0.456648608,1.146969899,0,1
988.0796783,1048.079678,4.013846186,0.429884494,-0.702922955,5.746508366,0,1
989.0796783,1049.079678,3.083188307,0.216468686,-0.476809135,2.557254753,0,1
990.0796783,1050.079678,4.220387585,0.249795647,-0.472369426,2.92479208,0,1
991.0796783,1051.079678,3.214451562,0.047887314,-0.408861999,2.058150109,0,1
992.0796783,1052.079678,4.030848936,0.457459345,-0.47615402,6.343600338,0,1
993.0796783,1053.079678,4.142289647,0.577357129,-0.238573781,1.698997948,0,1
994.0796783,1054.079678,4.278421929,0.178644828,-0.479792192,1.296412964,0,1
995.0796783,1055.079678,2.955904777,-0.009707382,-0.483288957,6.761969738,0,1
996.0796783,1056.079678,3.115412635,0.062076477,-0.47903591,1.419671974,0,1
997.0796783,1057.079678,4.366731856,0.560227226,-0.615617265,2.981851525,0,1
998.0796783,1058.079678,4.137000293,0.117619993,-0.412058103,2.061991001,0,1
999.0796783,1059.079678,3.117918901,0.145705276,-0.251813057,1.529936626,0,1
1000.079678,1060.079678,4.185428644,0.447012245,-0.537624505,2.370704099,0,1
1001.079678,1061.079678,3.008133777,0.118942964,-0.331068843,2.24352704,0,1
1002.079678,1062.079678,4.447706025,0.211776741,-0.348776473,3.146995444,0,1
1003.079678,1063.079678,2.965140222,0.023711356,-0.691072254,0.778427592,0,1
1004.079678,1064.079678,4.187585821,0.494676767,-0.219913673,5.982887131,0,1
1005.079678,1065.079678,2.943831741,0.083000101,-0.502066641,1.528992534,0,1
1006.079678,1066.079678,4.258063517,0.097439537,-0.507993818,3.010763972,0,1
1007.079678,1067.079678,3.019300931,0.0427716,-0.463146433,1.464055569,0,1
1008.079678,1068.079678,2.975964892,-0.018588465,-0.413921744,2.932799008,0,1
1009.079678,1069.079678,4.054010148,0.459297977,-0.46420842,2.188322909,0,1
1010.079678,1070.079678,3.104048584,0.093573678,-0.477434825,0.850124349,0,1
1011.079678,1071.079678,3.908463327,0.094255583,-0.427415818,7.503545692,0,1
1012.079678,1072.079678,3.203253155,0.139700619,-0.377557483,1.538548606,0,1
1013.079678,1073.079678,4.032563762,0.463224551,-0.432862318,4.360959006,0,1
1014.079678,1074.079678,3.152216288,-0.003482366,-0.714934171,0.686897805,0,1
1015.079678,1075.079678,3.916297203,0.189649486,-0.149948884,4.430279787,0,1
1016.079678,1076.079678,3.222602842,0.1351774,-0.402043222,0.737504791,0,1
1017.079678,1077.079678,4.06766544,0.281294225,-0.616837692,3.246524022,0,1
1018.079678,1078.079678,3.102025543,0.031254926,-0.447159501,7.282702455,0,1
1019.079678,1079.079678,4.018235292,0.256737292,-0.554130151,0.920184452,0,1
1020.079678,1080.079678,3.208957831,0.027667247,-0.514985536,3.458736406,0,1
