Time (real),IR Value raw,IR Value filtered,Time (s),Label_Detail
5/16/2025 0:44,127158,1755,12.18090653,1
5/16/2025 0:44,127226,1710,12.22089577,1
5/16/2025 0:44,126203,644,12.26098847,1
5/16/2025 0:44,124358,-1126,12.300915,1
5/16/2025 0:44,123383,-1970,12.34014201,1
5/16/2025 0:44,123447,-1787,12.38039398,1
5/16/2025 0:44,123676,-1460,12.42046642,1
5/16/2025 0:44,123830,-1225,12.46086955,1
5/16/2025 0:44,124115,-881,12.5002768,1
5/16/2025 0:44,124259,-691,12.54031897,1
5/16/2025 0:44,124162,-739,12.58034492,1
5/16/2025 0:44,124103,-748,12.62094235,1
5/16/2025 0:44,124342,-477,12.66003013,1
5/16/2025 0:44,124795,-22,12.70082164,1
5/16/2025 0:44,125313,465,12.74006581,1
5/16/2025 0:44,125781,874,12.78008747,1
5/16/2025 0:44,126144,1160,12.82019901,1
5/16/2025 0:44,126399,1327,12.86004734,1
5/16/2025 0:44,126589,1422,12.90032315,1
5/16/2025 0:44,126803,1534,12.94007063,1
5/16/2025 0:44,126936,1563,12.98035693,1
5/16/2025 0:44,125734,338,13.02007985,1
5/16/2025 0:44,123903,-1400,13.06003976,1
5/16/2025 0:44,123057,-2105,13.10048509,1
5/16/2025 0:44,123315,-1732,13.1409955,1
5/16/2025 0:44,123569,-1385,13.18040085,1
5/16/2025 0:44,123775,-1106,13.22045183,1
5/16/2025 0:44,124172,-664,13.26002026,1
5/16/2025 0:44,124314,-490,13.30010128,1
5/16/2025 0:44,124247,-522,13.34049392,1
5/16/2025 0:44,124373,-371,13.38013053,1
5/16/2025 0:44,124865,113,13.42006731,1
5/16/2025 0:44,125610,805,13.46023488,1
5/16/2025 0:44,126152,1263,13.50010562,1
5/16/2025 0:44,126470,1482,13.54007483,1
5/16/2025 0:44,126707,1612,13.58093023,1
5/16/2025 0:44,126853,1648,13.62009192,1
5/16/2025 0:44,126976,1660,13.66001749,1
5/16/2025 0:44,127088,1661,13.70084095,1
5/16/2025 0:44,127177,1641,13.74008441,1
5/16/2025 0:44,126267,685,13.78090358,1
5/16/2025 0:44,124480,-1033,13.82086492,1
5/16/2025 0:44,123586,-1806,13.86004567,1
5/16/2025 0:44,123687,-1599,13.90009475,1
5/16/2025 0:44,123943,-1259,13.94052386,1
5/16/2025 0:44,124079,-1053,13.98065257,1
5/16/2025 0:44,124509,-584,14.02035022,1
5/16/2025 0:44,124895,-185,14.06035185,1
5/16/2025 0:44,124987,-87,14.10083222,1
5/16/2025 0:44,125070,-4,14.14107728,1
5/16/2025 0:44,125372,279,14.18000674,1
5/16/2025 0:44,125840,701,14.22045112,1
5/16/2025 0:44,126252,1043,14.26035905,1
5/16/2025 0:44,126538,1246,14.30049849,1
5/16/2025 0:44,126729,1347,14.34047222,1
5/16/2025 0:44,126858,1384,14.38109875,1
5/16/2025 0:44,126974,1406,14.42043042,1
5/16/2025 0:44,127117,1453,14.47008562,1
5/16/2025 0:44,127219,1457,14.51002479,1
5/16/2025 0:44,126578,765,14.55098844,1
5/16/2025 0:44,124620,-1118,14.59091806,1
5/16/2025 0:44,123465,-2131,14.63044643,1
5/16/2025 0:44,123480,-1984,14.6702559,1
5/16/2025 0:44,123767,-1591,14.71094513,1
5/16/2025 0:44,123889,-1377,14.75010204,1
5/16/2025 0:44,124240,-962,14.79051423,1
5/16/2025 0:44,124581,-582,14.83020997,1
5/16/2025 0:44,124606,-522,14.87012124,1
5/16/2025 0:44,124688,-412,14.91003776,1
5/16/2025 0:44,125106,5,14.95006776,1
5/16/2025 0:44,125723,583,14.99018621,1
5/16/2025 0:44,126190,985,15.0306828,1
5/16/2025 0:44,126518,1231,15.07050753,1
5/16/2025 0:44,126751,1372,15.11032605,1
5/16/2025 0:44,126904,1430,15.15085149,1
5/16/2025 0:44,127013,1443,15.19078612,1
5/16/2025 0:44,127135,1467,15.23024058,1
5/16/2025 0:44,127260,1493,15.27086782,1
5/16/2025 0:44,127332,1467,15.3100512,1
5/16/2025 0:44,126264,374,15.35006642,1
5/16/2025 0:44,124763,-1057,15.39112329,1
5/16/2025 0:44,124222,-1498,15.43085885,1
5/16/2025 0:44,124497,-1146,15.47011566,1
5/16/2025 0:44,124836,-757,15.51030993,1
5/16/2025 0:44,125034,-524,15.55011559,1
5/16/2025 0:44,125338,-206,15.59025526,1
5/16/2025 0:44,125466,-73,15.63067341,1
5/16/2025 0:44,125527,-11,15.67104983,1
5/16/2025 0:44,125769,216,15.71045017,1
5/16/2025 0:44,126162,571,15.75043535,1
5/16/2025 0:44,126511,863,15.7900598,1
5/16/2025 0:44,126755,1038,15.83039975,1
5/16/2025 0:44,126919,1127,15.87011337,1
5/16/2025 0:44,127054,1183,15.91084456,1
5/16/2025 0:44,127169,1217,15.95014024,1
5/16/2025 0:44,127297,1261,15.99023914,1
5/16/2025 0:44,127360,1241,16.03047204,1
5/16/2025 0:44,127424,1223,16.07008004,1
5/16/2025 0:44,126968,719,16.1101141,1
5/16/2025 0:44,125064,-1110,16.15044379,1
5/16/2025 0:44,124123,-1923,16.19081426,1
5/16/2025 0:44,124030,-1890,16.23048687,1
5/16/2025 0:44,124366,-1457,16.27046609,1
5/16/2025 0:44,124650,-1100,16.31008649,1
5/16/2025 0:44,125092,-617,16.35050178,1
5/16/2025 0:44,125458,-235,16.39080667,1
5/16/2025 0:44,125586,-100,16.43017673,1
5/16/2025 0:44,125746,56,16.47085333,1
5/16/2025 0:44,126068,355,16.51036167,1
5/16/2025 0:44,126437,678,16.55044985,1
5/16/2025 0:44,126743,923,16.59031129,1
5/16/2025 0:44,126984,1091,16.63040662,1
5/16/2025 0:44,127130,1160,16.67053032,1
5/16/2025 0:44,127238,1189,16.7102735,1
5/16/2025 0:44,127323,1194,16.75020409,1
5/16/2025 0:44,127402,1194,16.79048133,1
5/16/2025 0:44,127467,1180,16.83041739,1
5/16/2025 0:44,127400,1043,16.87054014,1
5/16/2025 0:44,125684,-631,16.9104991,1
5/16/2025 0:44,124796,-1424,16.95065284,1
5/16/2025 0:44,124735,-1392,17.00012374,1
5/16/2025 0:44,125169,-898,17.04080129,1
5/16/2025 0:44,125615,-424,17.08052015,1
5/16/2025 0:44,126125,81,17.12096357,1
5/16/2025 0:44,126451,382,17.16008019,1
5/16/2025 0:44,126387,298,17.20060778,1
5/16/2025 0:44,126242,143,17.24007082,1
5/16/2025 0:44,126469,347,17.28073835,1
5/16/2025 0:44,126797,633,17.32099843,1
5/16/2025 0:44,127055,835,17.36007643,1
5/16/2025 0:44,127206,925,17.40015459,1
5/16/2025 0:44,127312,966,17.44052696,1
5/16/2025 0:44,127423,1010,17.48045325,1
5/16/2025 0:44,127503,1022,17.52009368,1
5/16/2025 0:44,127547,999,17.56007648,1
5/16/2025 0:44,127550,940,17.60086131,1
5/16/2025 0:44,126289,-301,17.64011788,1
5/16/2025 0:44,124849,-1632,17.68101048,1
5/16/2025 0:44,124258,-2084,17.72012377,1
5/16/2025 0:44,124519,-1709,17.76051807,1
5/16/2025 0:44,124871,-1272,17.80008984,1
5/16/2025 0:44,125175,-908,17.84052229,1
5/16/2025 0:44,125537,-512,17.880265,1
